Episode,Tick,Avg cluster X episode,Avg reward X episode,random-walk,lay-food-pheromone,follow-food-pheromone,follow-nest-pheromone,take-food,drop-food,random-walk-and-lay-food-pheromone,follow-nest-pheromone-and-lay-food-pheromone,Epsilon
1,500,0,-287.66,3099,3119,3021,3203,3166,3078,3140,3174,0.9995
2,1000,0,-296.48,3125,3148,3077,3163,3076,3209,3161,3041,0.999
3,1500,0,-279.87,3088,3132,3060,3160,3198,3161,3097,3104,0.9985
4,2000,0,-324.04,3100,3150,3084,3130,3185,3125,3130,3096,0.998
5,2500,0,-303.08,3153,3142,3110,3115,3123,3108,3122,3127,0.9975
6,3000,0,-213.31,3141,3128,3148,3168,3085,3064,3084,3182,0.997
7,3500,0,-296.14,3018,3197,3065,3078,3192,3185,3114,3151,0.9965
8,4000,0,-262.08,3126,3083,3102,3172,3126,3099,3159,3133,0.996
9,4500,0,-210.52,3103,3075,3163,3110,3131,3018,3183,3217,0.9955
10,5000,0,-279.89,3158,3160,3114,3096,3108,3074,3078,3212,0.995
11,5500,0,-266.59,3141,3037,3218,3161,3066,3135,3104,3138,0.9945
12,6000,0,-267.47,3118,3175,3100,3137,3157,3082,3100,3131,0.994
13,6500,0,-297.97,3088,3085,3148,3144,3150,3073,3142,3170,0.9935
14,7000,0,-315.89,3189,3074,3116,3147,3071,3104,3184,3115,0.993
15,7500,0,-250.26,2996,3177,3079,3111,3166,3132,3110,3229,0.9925
16,8000,0,-240.18,3103,3072,3164,3190,3051,3059,3186,3175,0.992
17,8500,0,-313.17,3242,3139,3084,3154,3094,3057,3046,3184,0.9915
18,9000,0,-301.48,3058,3082,3077,3241,3238,3071,3069,3164,0.991
19,9500,0,-156.62,3063,3110,3163,3232,3059,3084,3159,3130,0.9905
20,10000,0,-260.03,3129,3094,3257,3141,3115,3020,3117,3127,0.99
21,10500,0,-287.41,3059,3114,3163,3143,3144,3258,3012,3107,0.9896
22,11000,0,-283.98,3158,3065,3132,3128,3065,3156,3181,3115,0.9891
23,11500,0,-277.42,3107,3107,3038,3178,3074,3170,3175,3151,0.9886
24,12000,0,-255.33,3158,3056,3064,3229,3106,3094,3093,3200,0.9881
25,12500,0,-141.49,3135,3050,3131,3079,3152,3159,3224,3070,0.9876
26,13000,0,-269.99,3039,3246,3063,3078,3165,3113,3193,3103,0.9871
27,13500,0,-294.57,3162,3019,3086,3260,3109,3042,3156,3166,0.9866
28,14000,0,-327.06,3263,3060,3102,3083,3155,3164,3032,3141,0.9861
29,14500,0,-302.18,3134,3044,3105,3179,3188,3056,3102,3192,0.9856
30,15000,0,-245.99,3101,3176,3110,3198,3103,3063,3082,3167,0.9851
31,15500,0,-301.18,3099,3156,3196,3153,3099,3098,3079,3120,0.9846
32,16000,0,-270.92,3127,3119,3120,3188,3128,3122,3014,3182,0.9841
33,16500,0,-274.3,3120,3064,3086,3091,3199,3147,3145,3148,0.9836
34,17000,0,-230.24,3186,3070,3003,3219,3076,3204,3074,3168,0.9831
35,17500,0,-249.36,3052,3165,3127,3218,3059,3060,3044,3275,0.9826
36,18000,0,-269.42,3159,3127,3168,3101,3086,3091,3089,3179,0.9822
37,18500,0,-300.45,3029,3112,3144,3164,3085,3081,3138,3247,0.9817
38,19000,0,-292.74,3111,3071,3038,3201,3095,3160,3137,3187,0.9812
39,19500,0,-296.42,3026,3131,3152,3117,3053,3150,3202,3169,0.9807
40,20000,0,-316.09,3038,3152,3175,3109,3095,3069,3212,3150,0.9802
41,20500,0,-132.08,3193,3124,3109,3176,3073,3131,3044,3150,0.9797
42,21000,0,-242.93,3153,3099,3082,3204,3083,3126,3057,3196,0.9792
43,21500,0,-257.77,3222,3012,3161,3060,3091,3161,3162,3131,0.9787
44,22000,0,-248.23,3121,3023,3165,3267,3057,3080,3078,3209,0.9782
45,22500,0,-252.88,3049,3134,3135,3192,3123,3108,3108,3151,0.9777
46,23000,0,-177.76,3112,3054,3115,3172,3058,3120,3175,3194,0.9773
47,23500,0,-174.21,3155,3145,3028,3151,3125,3109,3118,3169,0.9768
48,24000,0,-247.29,3155,3171,3025,3148,3050,3130,3149,3172,0.9763
49,24500,0,-207.87,3065,3094,3044,3173,3194,3195,3137,3098,0.9758
50,25000,0,-244.04,3040,3043,3185,3214,3160,3120,3076,3162,0.9753
51,25500,0,-203.24,3007,3060,3168,3155,3124,3068,3196,3222,0.9748
52,26000,0,-253.07,3133,3078,3133,3215,3185,3046,3007,3203,0.9743
